Òèðàæ;Øàð 1;Øàð 2;Øàð 3;Øàð 4;Øàð 5;Øàð 6;Øàð 7;Øàð 8;Øàð 9;Øàð 10;Øàð 11;Øàð 12;Øàð 13;Øàð 14;Øàð 15;Øàð 16;Øàð 17;Øàð 18;Øàð 19;Øàð 20
2043;23;25;40;51;14;37;59;31;28;46;12;7;48;17;47;30;39;45;36;32
2044;51;25;56;45;28;12;34;44;16;9;24;20;57;30;42;3;41;48;35;39
2045;26;32;43;29;36;13;38;23;17;4;44;11;57;47;2;48;58;35;3;46
2046;11;35;40;44;6;19;22;54;58;36;57;60;51;17;37;43;53;20;16;28
2047;15;35;47;2;12;32;8;52;23;6;16;33;41;9;4;45;40;43;50;28
2048;3;36;42;15;48;33;57;49;43;9;35;17;20;7;40;18;19;38;16;2
2049;27;24;43;10;60;58;44;20;53;1;21;7;11;51;23;30;50;48;18;52
2050;22;49;51;47;18;13;36;8;26;31;20;52;44;58;2;12;24;53;48;21
2051;50;40;30;29;53;9;57;55;58;18;16;56;19;13;26;24;12;25;8;17
2052;9;21;23;29;11;6;24;20;34;47;53;44;22;3;60;27;4;59;33;2
2053;12;4;53;2;5;24;10;21;9;43;26;14;8;57;30;22;13;45;47;39
2054;59;17;4;35;53;24;1;2;12;39;56;37;3;26;42;10;27;51;32;33
2055;5;26;35;2;44;48;36;21;34;50;56;4;9;28;3;47;37;17;1;39
2056;41;46;3;55;31;15;28;17;16;51;20;10;7;58;24;30;47;43;14;37
2057;6;7;52;49;53;27;15;60;46;17;57;45;43;16;25;50;48;24;37;36
2058;27;8;21;29;20;6;32;5;45;17;26;14;46;23;9;57;51;4;11;15
2059;34;15;58;56;19;18;38;2;32;22;10;27;31;14;45;48;1;11;26;9
2060;13;40;46;15;3;31;17;45;50;60;49;47;56;57;58;9;32;18;41;2
2061;53;4;33;41;52;2;14;50;7;44;35;10;48;37;28;1;19;27;39;5
2062;38;46;18;31;34;15;32;14;22;54;56;25;59;39;27;7;10;40;37;17
2063;57;9;3;12;36;7;6;56;4;34;43;46;2;1;42;28;53;5;41;48
2064;11;52;31;38;21;33;30;12;22;35;4;51;34;40;50;45;23;37;59;10
2065;57;59;8;43;27;2;51;25;45;31;55;40;29;14;48;30;15;9;60;10
2066;17;14;45;28;56;46;37;47;32;21;11;54;29;36;10;42;9;40;48;58
2067;10;6;37;44;12;54;8;34;43;21;19;5;39;42;24;27;60;35;31;1
2068;31;51;47;57;44;24;4;43;50;27;28;13;41;9;16;14;6;38;53;46
2069;33;6;55;13;28;35;9;31;7;29;38;32;27;20;46;37;42;4;24;12
2070;38;26;6;35;34;54;31;18;60;4;3;21;37;53;49;12;51;25;20;23
2071;44;50;27;32;8;29;23;56;9;36;55;6;25;2;1;16;54;46;49;60
2072;43;49;22;2;28;39;16;9;36;31;7;38;21;8;30;14;42;53;56;45
2073;17;36;34;8;56;11;45;33;39;54;47;10;46;59;37;1;16;26;51;30
2074;2;57;9;11;25;45;53;46;48;39;41;17;23;29;3;12;37;20;44;22
2075;10;50;19;8;3;46;34;52;17;18;25;33;14;49;59;29;23;44;56;45
2076;46;40;34;8;11;1;58;6;18;33;38;27;57;51;48;49;31;14;28;59
2077;20;33;49;5;9;7;24;32;53;48;37;6;17;19;56;45;41;21;22;25
2078;22;31;50;29;25;32;26;40;24;9;3;19;6;2;11;14;7;57;27;1
2079;10;15;5;42;48;8;45;57;60;54;39;49;27;6;28;44;1;43;9;31
2080;38;43;46;49;18;6;8;29;11;42;48;54;58;10;47;56;31;53;34;51
2081;27;48;11;52;37;50;56;39;13;46;36;20;8;23;21;42;14;40;9;31
2082;28;59;24;14;53;40;11;7;9;19;31;54;44;10;36;2;48;41;32;34
2083;4;43;19;5;56;42;7;24;23;17;52;12;11;37;32;40;45;41;29;49
2084;41;37;5;22;20;40;34;9;39;16;47;1;45;23;36;57;4;3;58;29
2085;33;7;43;40;22;37;16;53;42;60;25;48;54;29;17;50;19;5;13;52
2086;9;19;49;25;31;42;2;37;22;53;3;39;30;14;44;8;46;16;6;13
2087;53;10;33;12;52;16;5;57;41;45;48;27;46;32;49;39;54;30;7;36
2088;57;12;52;21;41;19;10;27;38;26;5;49;4;18;46;43;45;16;30;23
2089;57;50;60;51;48;31;41;23;5;32;30;35;46;54;6;11;37;59;38;24
2090;28;14;53;26;9;21;27;12;41;22;2;44;43;49;5;34;17;50;56;45
2091;34;7;31;22;21;35;10;30;12;18;60;8;28;23;42;36;15;38;26;6
2092;11;5;54;26;14;8;48;45;21;24;7;6;27;23;39;28;52;33;51;22
2093;15;40;38;54;37;35;20;58;4;48;59;6;41;11;57;22;60;52;26;44
2094;35;37;14;22;2;40;53;20;57;51;54;31;11;4;10;56;34;28;19;49
2095;30;27;53;35;60;51;28;47;3;43;11;56;5;50;39;41;46;58;1;52
2096;35;60;54;11;7;24;51;28;40;16;27;58;32;2;20;13;43;19;9;48
2097;22;6;10;40;1;9;54;8;11;42;44;31;46;18;36;23;55;43;60;52
2098;5;60;30;35;20;8;2;54;21;40;18;45;49;31;51;57;6;29;14;16
2099;45;56;60;14;24;33;6;36;30;9;29;41;46;51;23;18;31;13;1;2
2100;11;1;21;44;46;50;41;13;27;5;58;19;51;49;48;18;14;33;26;38
2101;43;37;3;8;4;2;7;40;19;28;55;36;48;6;17;22;13;30;42;57
2102;53;40;6;38;5;22;50;48;32;59;60;47;7;56;3;9;52;49;13;29
2103;47;12;5;37;59;20;25;53;46;15;26;30;43;19;33;60;49;27;54;55
2104;3;55;59;25;46;30;32;18;44;48;12;50;22;47;35;54;28;4;7;39
2105;8;6;33;48;7;59;12;26;47;1;19;51;25;28;11;50;37;22;40;34
2106;33;32;58;11;54;55;29;19;45;18;59;26;2;9;37;27;8;10;22;25
2107;10;60;56;12;13;11;49;16;5;47;29;15;22;3;34;39;8;31;26;36
2108;57;33;7;11;38;59;28;17;2;14;39;56;32;13;3;42;40;47;37;30
2109;32;59;29;30;33;14;38;12;37;57;56;19;7;9;40;23;46;47;36;16
2110;51;35;58;8;14;30;3;37;24;50;36;18;22;43;20;12;32;28;21;52
2111;27;19;4;44;47;7;58;46;3;9;33;14;52;10;18;40;26;31;29;2
2112;6;52;34;28;30;43;37;50;27;2;20;9;45;3;56;11;41;36;58;8
2113;39;46;12;31;3;32;13;55;48;51;42;2;58;52;40;7;26;15;29;38
2114;50;12;37;22;55;56;38;20;48;51;7;42;3;9;6;28;18;4;14;49
2115;38;13;51;36;47;59;20;4;39;40;24;31;22;58;55;9;18;23;25;5
2116;46;47;37;2;50;26;54;29;20;56;52;24;22;17;3;33;34;32;43;28
2117;7;29;27;51;36;35;2;45;31;41;18;49;48;17;56;55;8;60;53;44
2118;55;8;6;45;60;13;22;50;36;42;33;56;12;52;49;43;40;59;29;23
2119;23;16;15;22;17;34;9;32;14;6;46;47;54;53;55;59;30;60;10;28
2120;1;12;14;8;38;29;46;4;50;15;32;44;47;27;17;26;28;11;51;30
2121;21;25;29;56;9;47;15;46;60;8;33;42;59;5;37;19;4;32;12;49
2122;15;20;37;6;13;5;50;1;22;59;30;57;35;18;31;27;41;47;16;17
2123;60;56;50;20;4;2;40;49;1;26;27;34;47;6;21;13;7;22;54;3
2124;45;1;28;39;59;51;53;17;12;24;13;15;30;31;46;54;16;2;27;26
2125;59;27;5;36;15;49;42;47;21;28;50;29;39;18;20;31;57;17;16;30
2126;39;58;14;52;30;33;47;10;20;46;22;31;5;1;28;43;49;55;21;11
2127;54;5;20;36;12;4;26;9;8;29;57;15;31;7;49;11;43;23;25;47
2128;51;22;4;36;18;7;27;15;30;2;3;12;44;21;50;37;49;56;1;57
2129;57;40;39;14;21;24;59;34;17;12;48;18;11;6;54;19;8;7;60;13
2130;44;18;23;39;8;26;17;31;11;14;7;34;60;35;59;36;42;32;43;19
2131;28;1;47;60;40;18;19;23;39;5;35;11;13;50;8;26;3;15;51;53
2132;28;55;7;13;23;40;37;1;8;2;54;50;58;15;60;33;6;18;20;45
2133;24;17;39;20;56;16;7;43;27;54;22;12;23;52;11;45;48;47;59;49
2134;22;42;40;10;18;46;55;5;4;24;17;50;36;43;45;28;57;20;6;30
2135;8;45;7;32;35;14;59;15;48;60;13;18;44;39;36;47;42;49;55;29
2136;55;34;11;39;42;10;54;20;37;25;8;19;60;59;12;7;2;23;49;1
2137;19;20;51;59;16;18;21;3;56;10;46;7;1;42;17;48;45;15;30;26
2138;57;18;29;16;13;26;42;56;45;14;8;7;15;17;19;34;41;33;46;53
2139;51;58;16;17;2;54;47;33;23;55;20;50;34;28;37;5;43;35;30;29
2140;43;25;59;3;60;53;29;6;45;49;58;44;8;47;10;1;39;48;38;19
2141;28;34;7;53;26;29;32;16;60;23;47;11;42;46;40;48;18;10;12;50
2142;40;17;45;18;20;32;23;59;49;9;7;13;55;24;12;37;35;56;60;1
2143;23;3;26;31;53;44;5;51;35;39;57;60;25;11;15;4;2;19;33;6
2144;60;53;7;45;10;1;40;37;30;23;48;29;43;24;34;19;2;41;12;51
2145;6;44;29;21;32;20;3;49;30;59;24;15;5;18;2;57;14;40;34;27
2146;15;23;47;52;30;56;12;5;24;13;60;26;37;4;8;36;7;2;18;31
2147;59;24;18;1;29;5;56;49;51;60;20;3;6;28;16;55;40;14;35;57
2148;32;16;17;12;3;51;21;31;48;55;41;24;11;10;2;18;8;54;13;27
2149;18;58;2;54;60;35;46;37;5;50;48;23;4;20;16;43;21;51;55;24
2150;18;17;31;51;43;41;22;3;26;2;32;59;39;23;12;20;24;35;54;50
2151;3;60;26;46;39;10;33;9;36;43;31;5;37;45;35;50;23;57;27;18
2152;36;37;2;28;39;43;11;33;25;16;4;47;59;54;22;3;24;51;38;1
2153;35;9;54;33;49;50;46;45;26;40;21;11;59;56;13;22;41;28;14;42
2154;28;15;30;35;43;3;27;41;48;12;42;58;38;18;20;23;29;24;19;60
2155;50;55;45;39;3;46;5;60;25;41;58;54;33;57;18;27;38;19;32;37
2156;16;51;46;52;44;39;28;15;58;57;23;7;12;21;48;14;54;31;4;32
2157;44;11;35;24;3;46;14;36;13;50;19;34;59;51;60;49;8;55;58;7
2158;38;60;11;18;51;30;44;2;54;31;36;22;40;9;8;6;16;43;28;34
2159;14;20;24;50;16;10;25;1;4;52;38;6;23;3;28;43;17;37;47;12
2160;13;17;45;43;41;22;58;56;49;27;37;59;21;60;20;28;5;30;12;8
2161;39;14;16;8;45;13;4;1;44;19;41;46;59;58;50;20;31;32;22;57
2162;20;16;53;21;3;11;18;39;10;17;57;19;56;1;60;29;25;24;22;7
2163;12;53;10;1;23;11;27;34;58;56;21;37;16;22;50;20;41;46;42;60
2164;48;14;45;30;29;58;11;41;53;6;38;28;39;40;27;16;49;52;9;2
2165;39;24;34;1;22;18;14;16;57;41;6;26;2;52;9;19;36;29;38;31
2166;51;58;53;21;56;33;24;1;59;44;3;41;48;20;2;27;23;32;22;34
2167;48;47;27;32;14;38;40;39;17;12;35;28;52;4;2;10;16;57;36;13
2168;42;40;45;34;54;55;58;25;29;59;38;16;53;49;52;31;32;15;17;4
2169;2;44;14;32;59;18;7;12;40;9;1;46;13;50;30;38;10;11;3;35
2170;59;58;26;40;12;2;27;36;5;10;29;57;14;4;15;6;35;45;54;9
2171;42;41;38;31;9;34;3;50;51;5;2;30;17;29;48;16;46;54;7;33
2172;34;39;7;56;29;8;6;24;41;25;47;19;28;16;38;2;37;23;53;26
2173;25;49;44;31;3;23;52;34;21;19;24;59;60;2;11;33;54;47;7;13
2174;4;36;5;16;47;48;51;9;15;20;56;41;60;8;37;1;30;53;38;28
2175;55;16;19;7;59;8;57;39;52;60;13;43;36;20;31;58;6;47;44;51
2176;30;46;9;19;25;40;4;55;51;3;50;52;34;43;22;24;42;54;8;12
2177;30;46;18;31;27;9;6;7;54;1;10;22;59;38;39;37;48;13;12;5
2178;2;46;39;5;53;55;45;52;4;11;12;34;47;56;60;18;37;28;38;1
2179;11;9;2;51;16;56;52;25;33;28;50;59;15;29;49;44;6;7;30;40
2180;11;44;5;53;26;10;36;42;38;25;14;22;57;21;19;20;31;37;27;3
2181;17;14;39;54;35;32;16;47;31;8;50;44;36;60;45;4;26;58;56;28
2182;35;20;25;55;6;49;47;37;19;56;12;17;53;40;51;24;45;11;46;23
2183;48;30;5;19;56;15;14;23;34;31;50;26;17;51;4;16;28;18;47;3
2184;10;34;1;12;36;3;16;32;48;56;8;59;27;18;25;26;44;17;11;47
2185;34;52;32;20;6;50;39;38;28;17;47;22;59;36;13;44;57;42;49;53
2186;24;38;35;22;17;47;14;52;56;29;18;20;1;3;44;59;8;21;54;19
2187;14;38;19;60;25;37;8;52;15;17;1;46;57;53;22;20;7;13;44;6
2188;19;37;55;22;59;5;31;40;51;42;58;52;15;45;21;18;32;13;10;50
2189;47;5;56;6;18;3;53;35;7;1;29;46;25;52;27;41;49;20;12;58
2190;42;4;53;18;26;8;25;48;27;16;17;2;3;19;35;55;5;40;39;38
2191;52;21;42;60;43;58;37;54;40;5;15;29;28;23;16;46;12;26;17;47
2192;55;57;16;33;35;17;37;7;15;27;56;5;22;13;46;45;28;25;48;54
2193;26;47;5;2;54;58;60;21;28;51;46;3;24;25;52;12;33;55;15;16
2194;6;10;56;39;2;27;42;54;44;59;29;15;11;33;41;47;50;8;7;26
2195;44;21;20;11;5;23;48;58;9;34;39;59;43;53;60;17;29;28;54;40
2196;23;4;16;43;53;51;48;5;49;35;9;22;15;41;7;56;42;14;2;27
2197;37;39;26;29;5;50;11;60;30;45;7;38;23;43;1;18;13;44;41;31
2198;24;34;20;17;58;8;35;18;1;54;32;10;30;60;56;3;47;50;52;37
2199;7;40;13;53;17;30;24;43;4;48;20;37;16;39;1;6;22;34;21;45
2200;41;51;30;22;50;35;34;54;44;31;6;26;29;2;52;16;32;17;60;11
2201;57;59;38;16;26;17;34;29;1;40;25;36;22;28;41;39;50;45;7;6
2202;5;51;34;48;3;27;56;22;52;18;19;33;30;14;37;13;46;2;21;12
2203;60;47;2;15;5;34;35;57;28;39;43;4;9;48;6;7;17;30;55;56
2204;60;29;55;30;33;7;49;45;52;46;56;2;16;44;54;6;9;28;42;36
2205;14;52;3;2;13;58;33;26;25;35;31;59;12;54;42;32;16;47;18;34
2206;50;5;55;45;28;57;27;10;11;6;31;60;14;2;29;54;34;20;15;37
2207;10;47;30;8;56;14;39;17;34;18;59;12;42;2;26;13;37;3;50;29
2208;51;17;10;36;32;43;33;38;18;37;49;56;58;21;46;44;14;8;28;54
2209;3;21;7;1;53;51;6;4;16;45;48;43;41;11;42;19;38;60;35;18
2210;12;59;54;35;55;4;11;56;46;2;18;7;39;15;26;40;41;16;25;19
2211;19;49;29;47;2;31;55;26;5;4;30;12;18;22;9;44;10;27;25;40
2212;44;47;13;49;31;5;36;12;40;35;38;10;28;29;21;50;33;51;23;41
2213;37;2;39;31;7;46;24;47;28;53;27;19;35;26;11;22;50;4;43;58
2214;58;48;13;55;40;50;57;14;22;56;19;20;27;11;33;9;52;47;16;43
2215;38;49;58;16;32;24;25;53;48;10;46;11;56;52;40;31;14;20;50;12
2216;2;17;40;23;39;24;3;9;5;53;57;58;42;11;13;10;28;35;21;14
2217;49;34;53;44;14;43;50;29;3;35;57;12;31;10;13;1;23;58;18;30
2218;15;55;26;58;25;2;46;16;28;17;24;37;57;7;36;41;4;10;8;47
2219;19;14;25;3;11;56;16;46;4;27;28;47;58;48;18;33;52;37;34;10
2220;48;3;22;55;49;31;44;29;8;58;38;24;39;9;10;47;35;37;54;50
2221;32;60;33;48;17;29;18;55;21;35;31;13;12;8;59;22;28;11;45;57
2222;16;51;28;53;33;57;34;48;12;10;46;55;31;32;58;8;9;41;24;36
2223;13;32;41;60;58;17;23;54;48;59;31;49;38;7;40;21;47;52;33;5
2224;30;2;20;57;14;55;53;16;15;39;23;25;7;24;35;41;58;36;44;59
2225;25;35;60;30;42;2;50;58;57;4;10;51;53;21;40;11;17;43;29;45
2226;15;54;28;53;60;18;23;11;8;17;44;13;14;4;36;38;12;49;46;5
2227;27;18;9;10;24;50;11;40;12;37;31;3;58;54;8;25;42;22;15;48
2228;48;57;16;47;25;43;2;32;23;51;6;4;55;9;18;59;36;17;39;24
2229;14;49;59;24;20;15;32;10;33;53;17;37;5;3;19;7;44;8;18;26
2230;15;45;13;33;60;18;31;32;50;43;14;48;42;56;40;53;7;20;39;4
2231;26;11;51;23;18;57;3;38;60;9;50;44;4;22;34;43;8;29;39;5
2232;6;42;40;57;43;47;2;49;33;22;15;31;30;54;28;27;39;24;3;50
2233;22;51;41;38;2;14;8;59;54;16;32;10;30;5;46;20;3;48;13;49
2234;36;12;43;4;15;55;25;24;16;20;31;37;14;5;45;57;2;13;48;56
2235;9;38;35;4;26;22;17;53;50;13;10;2;11;30;8;19;32;12;29;46
2236;25;9;8;58;28;57;31;2;15;60;5;1;16;50;29;6;7;45;51;36
2237;56;47;1;22;6;43;35;60;26;25;23;53;40;27;37;20;4;52;45;58
2238;16;32;41;36;3;57;23;25;47;21;58;9;35;43;19;15;46;17;22;49
2239;19;44;9;35;55;30;16;27;26;51;41;18;50;33;42;53;56;54;60;6
2240;10;25;55;11;44;60;58;1;35;41;34;59;33;42;57;15;43;49;47;53
2241;18;34;52;41;50;28;27;57;26;16;42;51;59;39;29;1;30;55;17;11
2242;25;37;18;1;58;48;33;21;60;47;12;2;55;43;14;28;49;22;56;44
2243;22;10;32;25;45;41;48;4;39;18;6;9;38;54;42;19;31;21;49;7
2244;43;14;53;8;50;44;22;51;3;30;39;28;36;7;27;52;1;32;12;17
2245;44;26;8;48;58;19;5;31;17;3;37;42;21;60;53;55;15;13;23;25
2246;15;42;55;34;1;6;28;17;51;47;10;26;60;45;40;29;39;56;33;30
2247;17;5;14;23;50;48;6;19;9;12;34;49;27;57;11;54;60;39;22;26
2248;11;7;59;14;27;52;6;42;10;45;13;19;8;17;12;49;18;5;24;60
2249;43;54;12;13;28;44;18;49;2;42;37;59;39;31;56;53;46;5;35;55
2250;47;2;35;51;22;56;24;14;55;3;1;31;10;44;40;59;16;32;58;54
2251;48;53;6;51;29;26;27;50;15;45;56;10;25;34;17;1;2;18;60;44
2252;57;38;17;33;11;56;43;58;28;3;5;14;2;12;53;52;35;32;45;39
2253;18;6;31;7;38;57;11;8;24;17;2;44;55;35;41;30;48;50;43;13
2254;53;51;2;28;50;5;48;1;17;27;19;31;49;46;10;25;39;38;42;59
2255;15;42;14;8;31;40;24;59;29;50;47;26;55;11;27;3;30;58;9;18
2256;60;38;41;2;9;26;46;55;19;42;58;32;59;52;22;53;11;39;28;16
2257;38;52;44;19;59;57;53;15;60;40;26;33;1;22;20;6;8;43;48;36
2258;27;36;3;29;12;48;17;46;57;7;16;10;55;41;43;50;58;56;44;52
2259;54;34;32;22;57;5;9;41;36;49;45;55;33;42;59;52;13;60;37;46
2260;16;15;10;36;24;39;27;52;41;40;1;25;30;20;14;50;59;3;45;23
2261;23;7;8;49;38;16;18;36;54;48;45;51;9;4;20;34;53;60;57;12
2262;18;36;33;11;57;35;59;20;8;19;15;56;2;25;51;3;23;49;55;31
2263;52;31;13;44;55;28;59;36;30;18;41;4;11;27;12;50;17;35;21;14
2264;4;41;27;7;14;13;20;59;48;19;56;39;17;23;38;35;32;36;21;6
2265;56;39;15;41;27;25;33;46;32;44;18;24;30;1;20;60;45;23;6;37
2266;47;44;56;6;14;58;26;53;28;7;9;30;15;31;1;57;11;33;37;12
2267;28;30;36;12;31;51;38;17;44;18;52;33;40;2;4;26;19;57;3;54
2268;3;53;36;34;57;38;51;25;47;46;37;40;30;29;55;45;15;14;28;19
2269;1;31;13;22;15;29;21;25;9;4;2;48;5;51;43;50;28;49;35;54
2270;51;23;6;60;55;25;24;17;19;27;57;36;16;12;26;3;35;45;7;4
2271;51;46;13;55;17;44;15;18;2;16;32;52;50;29;23;42;12;37;21;20
2272;46;60;36;40;19;4;18;15;50;11;8;30;27;6;58;51;24;21;35;44
2273;34;3;40;43;57;27;5;26;47;21;37;33;49;28;31;29;4;58;12;11
2274;44;13;35;55;50;15;37;36;18;57;45;12;30;21;42;5;43;32;58;51
2275;40;7;31;8;25;36;55;59;1;17;30;37;58;44;57;54;16;34;49;48
2276;23;55;34;11;28;42;25;1;3;10;7;21;6;60;57;26;41;19;33;32
2277;22;20;41;46;58;7;35;19;18;31;34;55;40;44;5;17;54;36;49;23
2278;23;46;49;54;15;53;29;55;26;34;57;10;50;16;32;31;2;1;17;60
2279;50;28;27;59;2;56;8;51;37;60;54;24;9;1;29;48;41;42;11;3
2280;60;14;31;35;22;37;43;50;54;56;58;55;41;57;10;27;6;9;47;30
2281;55;32;39;26;50;16;6;33;27;44;15;58;56;59;3;53;37;46;51;45
2282;16;5;31;58;30;39;55;10;37;6;54;57;1;44;15;19;11;60;51;40
2283;36;59;31;44;52;5;3;54;21;9;20;43;27;39;40;28;51;12;58;55
2284;37;43;20;22;41;39;45;42;56;6;47;1;35;44;52;11;15;46;36;5
2285;25;45;11;42;43;58;22;13;19;18;17;4;52;14;3;30;51;1;49;34
2286;11;59;23;51;22;3;2;30;32;39;16;36;28;58;4;26;14;33;17;46
2287;15;40;51;28;20;38;42;30;45;48;13;46;7;58;41;4;43;49;35;32
2288;13;19;54;1;7;45;2;6;56;48;22;42;55;20;3;47;44;4;30;36
2289;12;47;44;50;17;43;30;15;7;23;54;48;14;19;31;20;9;25;57;51
2290;60;31;13;41;10;25;48;4;40;26;1;37;51;15;53;19;46;20;35;12
2291;18;34;14;21;59;2;32;47;41;49;10;1;46;38;36;33;15;52;60;43
2292;36;48;28;8;17;56;38;23;29;57;44;41;49;46;6;21;27;60;59;24
2293;30;54;23;45;46;20;44;11;51;7;41;15;4;9;48;24;10;43;57;58
2294;16;15;4;55;28;26;48;17;27;13;1;58;41;7;50;21;60;53;12;56
2295;60;34;35;49;2;42;48;44;40;38;39;8;13;53;14;43;10;52;47;20
2296;27;47;33;45;56;55;49;21;18;22;42;10;36;32;15;13;29;44;57;53
2297;31;43;7;20;5;15;26;24;11;3;10;8;57;39;56;55;49;33;9;42
2298;31;12;16;59;52;23;14;30;36;15;25;46;55;53;35;39;8;10;28;37
2299;51;12;52;47;37;27;7;60;41;44;2;55;26;9;21;36;10;50;5;29
2300;40;15;23;27;45;54;18;13;12;60;35;53;50;49;3;37;10;25;36;39
2301;54;43;3;23;11;58;50;9;22;31;6;26;7;27;45;32;5;20;33;38
2302;38;59;34;7;37;57;51;60;11;27;54;31;6;18;53;44;17;3;32;21
2303;55;25;36;31;53;15;44;8;47;4;29;42;5;49;16;57;45;28;21;11
2304;15;1;50;4;60;22;51;39;24;17;36;6;34;30;38;57;23;14;41;47
2305;58;29;6;37;28;23;49;56;30;54;17;15;27;46;8;12;43;35;33;34
2306;43;28;38;42;15;46;26;9;11;54;25;31;59;40;3;60;7;37;33;39
2307;53;48;30;23;21;8;47;2;14;44;51;16;59;7;35;37;12;60;57;24
2308;48;39;42;34;20;50;53;38;45;31;26;16;32;21;7;47;18;29;46;15
2309;27;7;33;58;19;54;13;5;1;24;6;43;38;50;16;56;34;28;30;45
2310;51;18;34;12;10;53;17;15;35;14;55;38;19;11;2;48;57;16;33;39
2311;29;40;20;44;58;46;7;12;3;52;2;18;47;28;35;60;56;41;14;57
2312;21;2;3;4;5;32;14;49;20;60;10;1;52;40;34;16;17;39;9;27
2313;1;42;44;57;48;15;60;21;46;30;11;59;39;27;23;28;51;9;50;35
2314;2;23;58;40;55;5;50;8;12;1;17;4;49;11;51;18;6;16;52;32
2315;14;1;24;57;27;58;13;19;44;45;54;47;32;60;56;33;43;22;49;42
2316;40;43;34;60;29;36;14;28;30;52;16;50;12;45;41;38;19;17;48;8
2317;12;23;55;35;7;16;54;38;37;57;29;43;60;9;14;58;39;19;26;2
2318;3;29;20;16;42;47;22;46;32;18;34;11;52;60;33;38;6;24;21;23
2319;45;9;60;8;6;42;53;35;1;12;16;7;21;41;52;20;13;58;33;11
2320;24;15;1;7;20;36;48;49;52;33;32;12;53;25;42;44;5;22;2;58
2321;34;16;19;11;59;8;5;38;26;49;50;42;28;27;56;2;17;39;29;4
2322;13;57;32;38;51;49;41;37;24;46;40;6;34;55;8;42;21;10;4;9
2323;24;26;6;36;12;37;33;60;52;47;2;40;1;7;27;35;39;16;11;44
2324;28;8;21;40;41;43;29;14;11;23;47;1;50;42;34;55;10;17;36;44
2325;18;1;14;24;37;57;28;46;36;10;45;26;47;8;40;53;59;6;30;22
2326;21;19;15;51;11;31;9;57;16;34;26;1;39;6;27;7;10;32;13;5
2327;47;26;4;11;35;23;54;12;50;6;58;46;9;33;41;51;52;60;5;42
2328;21;15;47;8;35;25;31;9;33;52;58;10;49;26;5;38;54;39;20;46
2329;45;33;26;43;7;4;54;59;32;44;24;21;13;6;42;50;29;47;49;3
2330;6;58;14;56;4;54;31;48;36;33;12;22;60;13;37;28;34;2;7;41
2331;47;36;45;16;38;25;49;4;40;42;48;59;53;13;22;12;44;32;31;57
2332;59;26;21;44;46;15;17;1;52;8;32;57;51;41;10;14;2;53;48;20
2333;49;58;53;6;14;21;51;29;60;10;22;8;46;44;40;17;50;25;24;41
2334;23;58;51;48;37;18;14;9;31;16;8;22;13;45;19;17;29;12;11;26
2335;42;51;54;22;57;35;28;2;6;25;21;26;59;43;19;3;5;12;46;9
2336;52;54;6;14;41;33;25;34;13;47;44;56;26;50;45;51;48;17;21;7
2337;31;41;1;24;6;46;14;7;21;35;50;22;27;18;53;49;60;29;40;4
2338;60;36;23;47;50;12;41;16;34;11;37;32;56;27;25;26;8;15;49;1
2339;50;42;10;47;12;33;27;19;36;56;18;5;4;53;7;22;59;17;11;23
2340;40;47;59;29;28;57;11;32;56;36;3;13;10;5;17;50;33;53;35;8
2341;14;51;41;45;16;15;32;1;11;49;43;18;40;8;6;39;33;38;34;57
2342;56;59;50;11;28;24;16;44;45;42;60;2;31;54;47;40;39;8;53;3
2343;45;41;14;40;29;6;33;39;1;5;46;18;26;43;50;7;36;52;16;57
2344;19;8;58;56;16;15;40;5;33;12;20;34;55;46;29;52;35;28;21;13
2345;33;28;45;40;3;47;18;43;41;26;30;36;12;29;49;46;13;23;11;57
2346;17;52;22;10;32;54;13;3;41;37;49;24;15;14;30;56;26;39;20;5
2347;48;31;6;10;43;38;40;46;41;26;50;17;30;33;4;44;34;8;25;49
2348;17;4;11;48;16;29;47;30;42;8;43;46;53;54;33;24;23;3;36;6
2349;39;51;2;59;20;41;56;9;43;27;36;17;14;19;33;23;57;37;24;58
2350;56;39;38;44;55;6;26;59;12;37;60;23;54;3;50;11;47;14;58;40
2351;4;19;55;18;15;34;57;58;17;22;38;49;52;25;39;2;14;54;12;37
2352;1;9;51;35;29;30;44;33;13;53;41;12;26;38;37;59;60;21;2;11
2353;40;27;16;18;50;20;52;39;59;45;37;51;32;46;44;23;24;1;10;22
2354;35;47;53;57;42;26;39;4;58;28;49;43;7;12;15;9;55;46;24;60
2355;7;18;57;11;1;34;55;41;60;3;43;13;59;49;51;31;42;35;38;39
2356;26;2;19;15;46;58;39;21;49;10;6;22;30;17;28;56;16;9;24;20
2357;43;22;48;38;10;29;44;32;57;8;42;14;33;7;53;35;54;56;55;36
2358;47;60;18;51;14;29;56;20;43;12;3;4;26;7;6;31;23;11;21;5
2359;18;5;13;52;25;48;17;38;58;6;49;44;27;31;3;53;59;19;9;37
2360;53;2;24;60;38;39;25;30;18;5;27;56;50;31;19;55;28;23;51;34
2361;45;32;31;10;60;2;18;4;28;13;26;8;35;39;47;20;7;5;52;27
2362;24;5;2;35;47;44;40;19;8;20;36;39;15;21;45;1;48;25;4;10
2363;37;52;3;1;4;46;60;49;2;20;54;24;57;11;21;16;50;27;26;17
2364;59;49;42;51;17;26;53;46;37;20;27;58;28;34;50;35;60;44;15;8
